EPISODE NUMBER,PLACE,NAME,ADDRESS,DISH NAME,PRICE,"RATING 
(AT TIME OF SHOOT) 
[scroll over for what the scores mean!]",RATING (MODERATED),YOUTUBE VIDEO LINK,AWARDS
1,"Heartlands, Part 1",58 Prawn Noodle and Minced Meat Noodle,"704 Bedok Reservoir Rd, Singapore 470704",Big Prawn Noodle,$12.00,2,2,"【Best Prawn Mee】Heartlands, Part 1 - Episode 1",
,,Big Prawn Noodle,"205D Compassvale Ln, Singapore 544205",Extra Big Prawn Noodle,$14.80,1,1,,
,,Loyang Way Big Prawn Noodles,"64 Loyang Way, Singapore 508754",XL Big Prawn Noodle,$14.30,2,3,,"BEST DRY VERSION
BEST OVERALL"
2,"Heartlands, Part 2",Beach Road Prawn Noodle House,"370 E Coast Rd, Singapore 428981",Jumbo Prawn Noodles,$15.00,3,2,"【Best Prawn Mee】Heartlands, Part 2 - Episode 2",
,,Kallang Cantonese Live Prawn Noodle,"51 Old Airport Rd, #01-83 Food Centre, Singapore 390051",Live Prawn Noodles,$9.00,2,2,,
,,Da Dong Prawn Noodles,"354 Joo Chiat Rd, Singapore 427600",Big Prawn Noodles,$15.00,2,3,,BEST SOUP
3,Penang,Green House Prawn Mee Corner,"133A, Jalan Burma, George Town, 10050 George Town, Pulau Pinang, Malaysia",Hokkien Prawn Mee,RM20.50/ S$7.90,2,2,【Best Prawn Mee】Penang - Episode 3,
,,888 Hokkien Mee,"67A, Lebuh Presgrave, 10300 George Town, Pulau Pinang, Malaysia",Hokkien Prawn Mee,"RM15/
S$4.70",2,2,,
,,Classic Hokkien Mee,"130, Jln Perak, 10450 George Town, Pulau Pinang, Malaysia",Hokkien Prawn Mee,"RM12/
S$3.70",2,2,,
4,"Central, Part 1",River South (Hoe Nam) Prawn Noodles,"2 Tai Thong Cres, #01-01 The Venue Shoppes, Singapore 347836",Ang Kar Prawn Noodles,$13.90,2,1,"【Best Prawn Mee】Central, Part 1 - Episode 4",
,,Zhup Zhup | Prawn noodle | Hokkien Mee | Pao Fan,"458 MacPherson Rd, Singapore 368176",Jumbo All Prawn,$31.20,3,3,,
,,Zhi Wei Xian Zion Road Big Prawn Noodle 知味鲜,"70 Zion Rd, #01-04, Singapore 247792",Prawn Noodles,$28.00,2,2,,
5,"Central, Part 2",545 Whampoa Prawn Noodles (Square 2),"10 Sinaran Dr, Level 4, Singapore 307506",Prawn Noodles,$6.90,2,2,"【Best Prawn Mee】Central, Part 2 - Episode 5",
,,Blanco Court Prawn Mee,"243 Beach Rd, #01-01, Singapore 189754",Jumbo Prawn Noodles,$12.80,3,2,,
,,Da Shi Jia Big Prawn Mee,"89 Killiney Rd, Singapore 239534",Big Big Prawn Noodles,$22.70,2,2,,